about | prep., adv. [อะเบาท์] | เกี่ยวกับ
price|n.[ไพรซ]|ราคา
probably|adv.[พรอบอับบลี]|อาจจะ
problem|n.[พรอบเบลม]|ปัญหา
product|n.[พรอดัคท์]|สินค้า
programme|n.[โปรแกรม]|โปรแกรม
project|n.[พรอเจคท์]|โครงการ
purple|adj.,n.[เพอร์เพิล]|สีม่วง
put|v.[พัท]|วาง
quarter|n.[ควอร์เทอร์]|หนึ่งในสี่
question|n.[เควสชัน]|คำถาม
quick|adj.[ควิค]|เร็ว
quickly|adv.[ควิคลี่]|อย่างรวดเร็ว
quiet|adj.[ไควเอท]|เงียบ
quite|adv.[ไควท์]|ค่อนข้าง
radio|n.[เรดิโอ]|วิทยุ
rain|n.,v.[เรน]|ฝน,ฝนตก
read|v.[รีด]|อ่าน
reader|n.[รีดเดอร์]|ผู้อ่าน
reading|n.[รีดดิง]|การอ่าน
ready|adj.[เรดี้]|พร้อม
real|adj.[เรียล]|จริง
really|adv.[เรียลลี่]|จริงๆ
reason|n.[รีซัน]|เหตุผล
red|adj.,n.[เรด]|สีแดง
relax|v.[รีแลกซ์]|ผ่อนคลาย
remember|v.[รีเมมเบอร์]|จำ
repeat|v.[รีพีท]|ทำซ้ำ
report|n.[รีพอร์ท]|รายงาน
restaurant|n.[เรสเตอรองท์]|ร้านอาหาร
result|n.[รีซัลท์]|ผลลัพธ์
return|v.,n.[รีเทิร์น]|กลับ,การกลับ
rice|n.[ไรซ์]|ข้าว
rich|adj.[ริช]|รวย
ride|v.[ไรด์]|ขี่
right|adj.,adv.,n.[ไรท์]|ขวา
river|n.[ริเวอร์]|แม่น้ำ
road|n.[โรด]|ถนน
room|n.[รูม]|ห้อง
routine|n.[รูทีน]|กิจวัตร
rule|n.[รูล]|กฎ
run|v.[รัน]|วิ่ง
sad|adj.[แซด]|เศร้า
salad|n.[แซลัด]|สลัด
salt|n.[ซอลท์]|เกลือ
same|adj.,pron.,adv.[เซม]|เหมือนกัน
sandwich|n.[แซนด์วิช]|แซนด์วิช
Saturday|n.[แซทเทอร์เดย์]|วันเสาร์
say|v.[เซย์]|พูด
school|n.[สคูล]|โรงเรียน
science|n.[ไซเอินซ์]|วิทยาศาสตร์
scientist|n.[ไซเอินทิสท์]|นักวิทยาศาสตร์
sea|n.[ซี]|ทะเล
second (next after the first)|det.,number[เซคเคินด์]|ที่สอง
second (unit of time)|n.[เซคเคินด์]|วินาที
section|n.[เซคชัน]|ส่วน
see|v.[ซี]|เห็น
sell|v.[เซล]|ขาย
send|v.[เซนด์]|ส่ง
sentence|n.[เซนเทนซ์]|ประโยค
September|n.[เซพเทมเบอร์]|กันยายน
seven|number[เซเวน]|เจ็ด
seventeen|number[เซเวนทีน]|สิบเจ็ด
seventy|number[เซเวนตี้]|เจ็ดสิบ
share|v.[แชร์]|แบ่งปัน
she|pron.[ชี]|เธอ
sheep|n.[ชีพ]|แกะ
shirt|n.[เชิร์ท]|เสื้อ
shoe|n.[ชู]|รองเท้า
shop|n.,v.[ช็อป]|ร้านค้า,ช็อปปิ้ง
shopping|n.[ช็อปปิ้ง]|การช็อปปิ้ง
short|adj.[ชอร์ท]|สั้น
should|modal v.[ชูด]|ควร
show|v.,n.[โชว์]|แสดง,การแสดง
shower|n.[เชาเวอร์]|ฝักบัว
sick|adj.[ซิก]|ป่วย
similar|adj.[ซิมมิละร์]|คล้ายกัน
sing|v.[ซิง]|ร้องเพลง
singer|n.[ซิงเงอร์]|นักร้อง
sister|n.[ซิสเตอร์]|น้องสาว
sit|v.[ซิท]|นั่ง
situation|n.[ซิทชูเอเชิน]|สถานการณ์
six|number[ซิกซ์]|หก
sixteen|number[ซิกซ์ทีน]|สิบหก
sixty|number[ซิกซ์ตี้]|หกสิบ
skill|n.[สกิล]|ทักษะ
skirt|n.[สเกิร์ท]|กระโปรง
sleep|v.[สลีพ]|นอนหลับ
slow|adj.[สโลว์]|ช้า
small|adj.[สมอลล์]|เล็ก
snake|n.[สเนค]|งู
snow|n.,v.[สโนว์]|หิมะ,หิมะตก
so|adv.,conj.[โซ]|ดังนั้น
some|det.,pron.[ซัม]|บ้าง
somebody|pron.[ซัมบอดี้]|ใครบางคน
someone|pron.[ซัมวัน]|ใครบางคน
something|pron.[ซัมธิง]|บางสิ่ง
sometimes|adv.[ซัมไทมส์]|บางครั้ง
son|n.[ซัน]|ลูกชาย
song|n.[ซอง]|เพลง
soon|adv.[ซูน]|เร็วๆ นี้
sorry|adj.,exclam.[ซอรี่]|ขอโทษ
sound|n.,v.[ซาวด์]|เสียง,ส่งเสียง
soup|n.[ซุป]|ซุป
south|n.,adj.,adv.[เซาธ์]|ทิศใต้
space|n.[สเปซ]|พื้นที่
speak|v.[สปีค]|พูด
special|adj.[สเปเชียล]|พิเศษ
spell|v.[สเปล]|สะกด
spelling|n.[สเปลลิง]|การสะกดคำ
spend|v.[สเปนด]|ใช้จ่าย
sport|n.[สปอร์ต]|กีฬา
spring|n.[สปริง]|ฤดูใบไม้ผลิ
stand|v.[สแตนด์]|ยืน
star|n.[สตาร์]|ดาว
start|v.[สตาร์ท]|เริ่ม
statement|n.[สเตทเมนต์]|คำกล่าว
station|n.[สเตชัน]|สถานี
stay|v.[สเตย์]|อยู่
still|adv.[สติลล์]|ยังคง
stop|v.,n.[สต็อป]|หยุด
story|n.[สตอรี่]|เรื่องราว
street|n.[สตรีท]|ถนน
strong|adj.[สตรอง]|แข็งแรง
student|n.[สติวเดนท์]|นักเรียน
study|n.,v.[สตัดดี้]|ศึกษา,การศึกษา
style|n.[สไตล์]|สไตล์
subject|n.[ซับเจคท์]|วิชา
success|n.[ซัคเซส]|ความสำเร็จ
sugar|n.[ชูการ์]|น้ำตาล
summer|n.[ซัมเมอร์]|ฤดูร้อน
sun|n.[ซัน]|ดวงอาทิตย์
Sunday|n.[ซันเดย์]|วันอาทิตย์
supermarket|n.[ซูเปอร์มาร์เก็ต]|ซูเปอร์มาร์เก็ต
sure|adj.[ชัวร์]|แน่นอน
sweater|n.[สเวตเตอร์]|เสื้อกันหนาว
swim|v.[สวิม]|ว่ายน้ำ
swimming|n.[สวิมมิง]|การว่ายน้ำ
table|n.[เทเบิล]|โต๊ะ
take|v.[เทค]|เอา
talk|v.[ทอล์ค]|พูดคุย
tall|adj.[ทอลล์]|สูง
taxi|n.[แท็กซี่]|แท็กซี่
tea|n.[ที]|ชา
teach|v.[ทีช]|สอน
teacher|n.[ทีเชอร์]|ครู
team|n.[ทีม]|ทีม
teenager|n.[ทีนเอเจอร์]|วัยรุ่น
telephone|n.,v.[เทลิโฟน]|โทรศัพท์
television|n.[เทลละวิชัน]|โทรทัศน์
tell|v.[เทลล์]|บอก
ten|number[เทน]|สิบ
tennis|n.[เทนนิส]|เทนนิส
terrible|adj.[เทอริเบิล]|แย่มาก
test|n.,v.[เทสท์]|การทดสอบ
text|n.[เท็กซ์ท]|ข้อความ
than|conj.[แดน]|กว่า
thank|v.[แธงค์]|ขอบคุณ
thanks|exclam.,n.[แธงค์ส]|ขอบคุณ
that|det.,pron.,conj.[แธท]|นั้น
the|definite article[เดอะ]|นี้
theatre|n.[เธียเทอร์]|โรงละคร
their|det.[แธร์]|ของพวกเขา
them|pron.[เด็ม]|พวกเขา
then|adv.[เด็น]|แล้ว
there|adv.[แดร์]|ที่นั่น
they|pron.[เดย์]|พวกเขา
thing|n.[ธิง]|สิ่ง
think|v.[ธิงค์]|คิด
third|number[เธิร์ด]|สาม
thirsty|adj.[เธิร์สตี้]|กระหายน้ำ
thirteen|number[เธอร์ทีน]|สิบสาม
thirty|number[เธอร์ที]|สามสิบ
this|det./pron.[ดิส]|นี้
thousand|number[เธาซันด์]|พัน
three|number[ธรี]|สาม
through|prep.,adv.[ธรู]|ผ่าน
Thursday|n.[เธิร์สเดย์]|วันพฤหัสบดี
ticket|n.[ทิคเคท]|ตั๋ว
time|n.[ไทม์]|เวลา
tired|adj.[ไทร์ด]|เหนื่อย
title|n.[ไทเทิล]|หัวข้อ
to|prep.,infinitive marker[ทู]|ถึง
today|adv.,n.[ทูเดย์]|วันนี้
together|adv.[ทูเกเธอร์]|ด้วยกัน
toilet|n.[ทอยเลท]|ห้องน้ำ
tomato |n. [โทมาโต] | มะเขือเทศ
tomorrow |adv., n. [ทูมอโร] | วันพรุ่งนี้
tonight |adv., n. [ทูไนท์] | คืนนี้
too |adv. [ทู] | มากเกินไป
tooth |n. [ทูธ] | ฟัน
topic |n. [ทอพิค] | หัวข้อ
tourist |n. [ทัวริสต์] | นักท่องเที่ยว
town |n. [ทาวน์] | เมือง
traffic |n. [ทราฟฟิค] | การจราจร
train |n. [เทรน] | รถไฟ
travel |v., n. [แทรเวล] | เดินทาง
tree |n. [ทรี] | ต้นไม้
trip |n. [ทริป] | การเดินทาง
trousers |n. [ทราวเซอร์ส] | กางเกงขายาว
true |adj. [ทรู] | จริง
try |v. [ทไร] | พยายาม
Tshirt |n. [ที-เชิ้ต] | เสื้อยืด
Tuesday |n. [ทูสเดย์] | วันอังคาร
turn |v., n. [เทิร์น] | หมุน, การหมุน
TV |n. [ทีวี] | โทรทัศน์
twelve |number [ทเวลฟ์] | สิบสอง
twenty |number [ทเวนตี] | ยี่สิบ
twice |adv. [ทไวซ์] | สองครั้ง
two |number [ทู] | สอง
type |n. [ไทพ์] | ประเภท
uncle |n. [อันเคิล] | ลุง, น้า
under |prep., adv. [อันเดอร์] | ใต้
understand |v. [อันเดอร์สแตนด์] | เข้าใจ
university |n. [ยูนิเวอร์ซิตี้] | มหาวิทยาลัย
until |conj./prep. [อันทิล] | จนกระทั่ง
up |adv., prep. [อัพ] | ขึ้น
upstairs |adv. [อัพสเตย์ร์ส] | ข้างบน
us |pron. [อัส] | พวกเรา
use |v. [ยูซ] | ใช้
useful |adj. [ยูสฟูล] | มีประโยชน์
usually |adv. [ยูชัวลี] | โดยปกติ
vacation |n. [เวเคชัน] | วันหยุด
vegetable |n. [เวจิตาบล] | ผัก
very |adv. [เวอรี] | มาก
video |n. [วีดีโอ] | วิดีโอ
village |n. [วิลเลจ] | หมู่บ้าน
visit |v., n. [วิสิท] | เยี่ยม, การเยี่ยม
visitor |n. [วิซิทเตอร์] | ผู้เยี่ยมชม
wait |v. [เวต] | รอ
waiter |n. [เวทเตอร์] | พนักงานเสิร์ฟ
wake |v. [เวค] | ตื่น
walk |v., n. [วอล์ค] | เดิน, การเดิน
wall |n. [วอลล์] | กำแพง
want |v. [วอนท์] | ต้องการ
warm |adj. [วอร์ม] | อบอุ่น
wash |v. [วอช] | ล้าง
watch |v., n. [วอทช์] | ดู, นาฬิกาข้อมือ
water |n. [วอเตอร์] | น้ำ
way |n. [เวย์] | ทาง
we |pron. [วี] | เรา
wear |v. [แวร์] | สวมใส่
weather |n. [เวเธอร์] | สภาพอากาศ
website |n. [เว็บไซด์] | เว็บไซต์
Wednesday |n. [เวนส์เดย์] | วันพุธ
week |n. [วีค] | สัปดาห์
weekend |n. [วีคเอนด์] | วันสุดสัปดาห์
welcome |exclam., v., adj. [เวลคัม] | ยินดีต้อนรับ
well |adv., adj., exclam. [เวลล์] | ดี, อย่างดี
west |n., adj., adv. [เวสต์] | ตะวันตก
what |pron./det. [วอท] | อะไร
when |adv., pron., conj. [เวน] | เมื่อไหร่
where |adv., conj. [แวร์] | ที่ไหน
